2026-09-01 03:26:57 | WARNING  | scraper.validator | Invalid product https://books.toscrape.com/catalogue/category/books/psychology_26/index.html: missing name
2026-09-01 03:26:57 | WARNING  | scraper.validator | Invalid product https://books.toscrape.com/catalogue/category/books/adult-fiction_29/index.html: missing name
2026-09-01 03:26:57 | WARNING  | scraper.validator | Invalid product https://books.toscrape.com/catalogue/category/books/spirituality_39/index.html: missing name
2026-09-01 03:26:57 | WARNING  | scraper.validator | Invalid product https://books.toscrape.com/catalogue/category/books/default_15/index.html: missing name
2026-09-01 03:26:57 | WARNING  | scraper.validator | Invalid product https://books.toscrape.com/catalogue/category/books/philosophy_7/index.html: missing name
2026-09-01 03:26:57 | WARNING  | scraper.validator | Invalid product https://books.toscrape.com/catalogue/category/books/art_25/index.html: missing name
2026-09-01 03:26:57 | WARNING  | scraper.validator | Invalid product https://books.toscrape.com/catalogue/category/books/novels_46/index.html: missing name
2026-09-01 03:26:57 | WARNING  | scraper.validator | Invalid product https://books.toscrape.com/catalogue/category/books/crime_51/index.html: missing name
2026-09-01 03:26:57 | WARNING  | scraper.validator | Invalid product https://books.toscrape.com/catalogue/category/books/childrens_11/index.html: missing name
2026-09-01 03:26:57 | WARNING  | scraper.validator | Invalid product https://books.toscrape.com/catalogue/category/books/suspense_44/index.html: missing name
2026-09-01 03:26:57 | WARNING  | scraper.validator | Invalid product https://books.toscrape.com/catalogue/category/books/autobiography_27/index.html: missing name
2026-09-01 03:26:57 | WARNING  | scraper.validator | Invalid product https://books.toscrape.com/catalogue/category/books/history_32/index.html: missing name
2026-09-01 03:26:57 | WARNING  | scraper.validator | Invalid product https://books.toscrape.com/catalogue/category/books/short-stories_45/index.html: missing name
2026-09-01 03:26:57 | WARNING  | scraper.validator | Invalid product https://books.toscrape.com/catalogue/category/books_1/index.html: missing name
2026-09-01 03:26:57 | WARNING  | scraper.validator | Invalid product https://books.toscrape.com/catalogue/category/books/contemporary_38/index.html: missing name
2026-09-01 03:26:57 | INFO     | scraper.validator | Validated 63 products -> 11 valid
2026-09-01 03:26:57 | INFO     | scraper.storage | Saved CSV: output\books_test.csv
2026-09-01 03:26:58 | INFO     | scraper.storage | Saved Excel: output\books_test.xlsx
2026-09-01 03:26:58 | INFO     | scraper.analysis | Analysis complete: 11 products
2026-09-01 03:26:58 | INFO     | matplotlib.category | Using categorical units to plot a list of strings that are all parsable as floats or dates. If these strings should be plotted as numbers, cast to the appropriate data type before plotting.
2026-09-01 03:26:58 | INFO     | matplotlib.category | Using categorical units to plot a list of strings that are all parsable as floats or dates. If these strings should be plotted as numbers, cast to the appropriate data type before plotting.
2026-09-01 03:26:59 | INFO     | scraper.visualization | Saved chart: output\charts\price_distribution.png
2026-09-01 03:26:59 | INFO     | scraper.visualization | Saved chart: output\charts\rating_distribution.png
2026-09-01 03:26:59 | INFO     | scraper.visualization | Saved chart: output\charts\price_vs_rating.png
2026-09-01 03:26:59 | INFO     | scraper.visualization | Saved chart: output\charts\products_by_category.png
2026-09-01 03:28:00 | INFO     | scraper.http_client | GET https://books.toscrape.com/robots.txt
2026-09-01 03:28:01 | WARNING  | scraper.http_client | Request failed for https://books.toscrape.com/robots.txt: 404 Client Error: Not Found for url: https://books.toscrape.com/robots.txt
2026-09-01 03:28:01 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/category/books/travel_2/index.html
2026-09-01 03:28:02 | INFO     | scraper.pagination | Page 1: found 11 product links (11 new)
2026-09-01 03:28:02 | INFO     | scraper.pipeline | Collected 11 product URLs from https://books.toscrape.com/catalogue/category/books/travel_2/index.html
2026-09-01 03:28:02 | INFO     | scraper.pipeline | Scraping 11 unique product URLs
2026-09-01 03:28:02 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/the-great-railway-bazaar_446/index.html
2026-09-01 03:28:03 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html
2026-09-01 03:28:04 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/neither-here-nor-there-travels-in-europe_198/index.html
2026-09-01 03:28:05 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/a-year-in-provence-provence-1_421/index.html
2026-09-01 03:28:06 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/vagabonding-an-uncommon-guide-to-the-art-of-long-term-world-travel_552/index.html
2026-09-01 03:28:07 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/see-america-a-celebration-of-our-national-parks-treasured-sites_732/index.html
2026-09-01 03:28:08 | INFO     | scraper.http_client | GET https://books.toscrape.com/catalogue/under-the-tuscan-sun_504/index.html
